delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,state
226742,37811,26484,45499,6949,5837,-218594,-9391,-20344,48333,858,1979,-204595,-24946,-15848,22637,1194,8724,-210090,-29285,36520,117172,581,5092,-198906,-20659,15590,78056,14008,9182,-123356,-8174,-8974,32187,22081,7770,easy
13337,14919,74370,133421,12517,12776,2332,-5000,-55249,70509,-10052,-962,-8194,111,20316,-91186,9511,46,4695,12952,-28579,40165,-5021,8764,456095,15199,-63032,-90510,-8611,178,2582,15438,-43995,37173,3493,23554,difficult
738331,178254,61474,42762,22669,20394,-715749,-151476,-47798,80889,-20671,-12584,-730603,-170934,-25637,59591,-19085,1376,-664005,-158846,80306,-1429,-16894,-5811,228817,-153895,-47520,-32608,-14243,-12648,-588064,-167652,-58167,-36287,-18981,-17583,easy
10222,10320,48440,154563,8852,11422,2217,15465,11511,-61747,-3250,-1511,-2024,17743,24832,50717,-1569,4340,11177,8928,-35946,-16426,3219,4012,11426,15022,21487,74182,4276,-3104,646540,80815,28719,-27054,12735,12121,difficult
70415,41622,26502,33654,18973,11065,-56477,-1634,7825,90805,18718,9440,-66496,-34222,42093,30574,-2572,2982,-64856,-26327,48849,54777,-10423,2727,-63284,6250,-8409,24965,-8279,-531,-1921,-34550,-12692,-24329,-16315,-6367,easy
105448,25492,6877,2049,3162,2360,-85134,-13671,-2664,7180,3998,1182,121276,93621,21132,21124,745,-75,-71740,8933,23209,129355,4789,8838,1231980,110921,35416,32765,7972,33951,-43855,-5258,4514,4803,-373,1440,difficult
79585,22462,14591,32111,11245,6144,-64689,-14804,14820,49371,-9142,5213,-69487,-13493,89493,210537,550,895,-57378,2889,53376,95174,8352,4045,-71924,-17564,10295,-9254,-8579,-1214,-68600,-2270,17205,14464,932,10403,easy
15146,14042,58705,75953,6493,9159,51767,38616,-20427,53318,2686,13522,6576,2758,49295,15797,2062,1918,4925,-6634,-14225,79077,841,1896,591584,131783,-34087,-57857,5439,1526,78314,-7245,-56791,-75187,-6145,-8202,difficult
48779,27271,6777,5003,8187,26217,-38193,8816,3013,655,-1069,-231,-11325,-11059,5213,-2642,-3699,-13301,516521,97270,16890,13778,5734,-9849,1470140,90008,50108,84401,24937,3711,-46360,-18524,368,5082,6118,-5030,easy
125550,29724,12753,120590,16189,10521,81915,3210,-8761,-11482,7300,1919,-118290,-17864,51646,-10888,-10455,5738,-120468,-22924,40920,-63906,-9798,17103,-41926,-14534,-8552,-111717,-8021,-7559,251691,9300,-252,-110661,-9865,-6223,difficult
70925,23879,27557,66151,13136,9786,-20966,8770,43813,10548,-3807,3405,-44950,-8741,7834,53769,-2503,126,-21977,4300,67242,36169,-11478,7990,85489,22820,33126,-3439,2092,534,78465,-17797,-21280,-65232,-10718,-9096,easy
15080,20559,25463,96531,11635,12778,7795,9956,27611,38948,-8356,753,-5944,-6180,17323,13370,6132,-2766,-5909,-9683,56845,-29996,-7439,-7723,10563,11084,-11001,-39153,4140,-4351,233214,44403,39336,5551,-3406,3696,difficult
34176,18111,45884,67873,8163,8929,-23146,-5295,-1278,24084,-3525,282,-14314,1250,75913,43086,1962,3233,-29055,-9485,-18327,19843,1842,16902,1553793,102402,-33372,-23609,9462,6890,537746,655017,-4836,-34247,20890,7966,easy
157445,19070,34100,90854,6072,8701,-145734,-165,408,7940,2542,7276,-125699,13396,81584,72802,382,419,-149419,-6327,-21041,46019,1901,-1202,498260,95885,-7644,-47940,-38,24554,-56702,25194,-22573,-76607,14602,7092,difficult
175334,28815,36438,28697,26081,7759,-152827,-1693,-11552,96105,-20965,4838,-166742,-21495,-29264,108521,-17712,3142,-155816,-15669,-10157,91439,-14723,-2868,-140169,27576,51927,53867,-20996,4526,-158037,-20915,-33655,-27812,-23642,-5467,easy
245093,25015,21766,9022,6680,7866,103160,171398,53029,111909,20296,2814,-238061,-20829,-3842,59363,-3481,-6035,-210564,-4688,24365,137575,10461,7480,623543,276002,-15509,27590,6932,-915,-91551,8994,-17929,-6210,1086,-2628,difficult
784455,125052,11496,37696,12488,9174,-781660,-113855,16849,-2048,1508,683,-781594,-118185,72080,60461,-8440,479,-757291,-91086,17268,40218,-4136,-450,-768586,-113322,172532,41759,4280,1939,-664059,-88983,-345,44684,-369,3124,easy
109789,59979,24084,21987,8710,14618,-91857,-51920,41912,54773,-5577,-7984,-96072,-41483,-12382,39364,-3175,3154,-100354,-36341,14122,140313,-6037,-3388,-84261,-54635,27587,69355,1915,-3890,-100252,-42646,26704,111925,3485,-7530,difficult
189504,112866,39688,50580,12248,6358,-157994,-107596,-22071,95685,-6414,4660,-177912,-102152,-19904,115537,2165,2201,-156053,-103685,-24605,-2612,-6520,10080,-28874,11834,-17045,-39138,-2414,-2358,-1215,-57071,-24535,-46912,-4545,184,easy
51646,20214,32180,106201,9259,13248,-41985,-6068,2731,59510,7693,3973,-48265,-10382,1033,13274,1213,-88,-34409,-6587,71978,-52708,-2620,-5160,321830,35105,-3740,-47593,-1042,-1836,-15595,11713,-30412,-98511,-3901,9649,difficult
339847,172202,31833,159408,21683,18718,-30721,-77423,-20997,-145060,-16494,-14771,-336656,-166750,-27689,-143305,-19488,-16765,-252490,-123877,13414,-81736,-4761,-7112,-290381,-142691,24673,-61073,-9885,-8666,-158624,-160455,-30719,-156226,-10971,-16102,easy
672780,61623,10964,34709,14915,10813,-592010,-40289,-5473,-15846,-11409,-7968,-633032,-49069,53402,86552,10219,-5586,-659375,-55837,32621,31338,2005,-338,-249625,-16941,58765,11937,4187,-1408,82457,51772,-1688,-37,-7393,1420,difficult
15065,17936,59261,73286,8524,9751,6363,14856,-3758,-1278,11296,-3031,2658,6353,-45476,90706,4247,2678,-4755,11325,-37547,-35705,-4051,415,81456,86371,-50953,-71274,-5597,-6501,2405928,29720,-14806,-31914,18821,41785,easy
11462,12995,59543,144216,5248,13876,64750,-918,-51858,-110985,-4257,-12435,-3175,806,-24892,20108,737,-6032,-6784,16533,-25347,-58732,1449,-569,-2211,2781,-53091,-83840,3453,9089,243959,222283,-19137,-39794,9415,-8480,difficult
732247,115862,29027,76874,18968,13285,-612440,-104275,-12713,-23116,-13154,-12281,-723184,-91286,30107,52787,1296,-3567,-656406,-110462,-5705,-28606,-8851,-3474,343532,81136,-25408,-38235,-6515,7602,-588612,4710,-28043,-72182,-5755,-9930,easy
74204,20182,12257,21565,3316,8397,-63215,-11517,74136,40140,12082,2792,-29540,18852,58780,91633,3999,5787,-45716,861,90195,58669,1963,21949,425824,83322,23949,44824,8097,9721,556722,41661,-7106,-11985,1200,19693,difficult
29014,22939,27770,152923,7841,11028,-18758,-8504,2185,72091,2812,-1569,-22259,-11722,-1142,-41297,-1303,-484,-16982,20559,40470,-110458,-3020,-1661,-10846,-21796,-14915,-110551,-1071,2035,24040,-13178,-17781,-141402,852,-7202,easy
93770,74741,7804,7247,22369,11411,11125,-50133,-980,-5605,-19564,-7394,-46628,-33185,30104,22913,56046,15282,87905,-44001,12517,89834,-14196,4442,-48863,-48695,-5339,6580,-17885,-6450,43828,53041,60892,-2338,-5665,19620,difficult
19044,14617,49881,119493,14110,8990,-4115,23737,50661,38825,-4193,6216,-4515,-671,-34209,106282,-11247,8717,-2458,-796,-39312,-52824,-7057,13688,-11896,-7477,-43672,-90959,-12729,-6114,883320,227671,15733,-87194,19046,26962,easy
16453,13888,44516,94720,13187,8590,-4914,-5189,-7485,158146,3148,4093,-10056,4302,39971,17039,-7379,3824,7138,-2942,4837,77264,-1886,1723,-8428,-1644,96103,-11718,11692,27877,332184,16371,-21273,-82596,-6465,2085,difficult
22527,22824,61192,66837,13861,12364,-4638,-5119,-32577,4835,-4319,1507,3870,-6207,-36226,107605,4022,3067,-15748,-11629,-34070,-6429,-5508,4403,-10298,-6641,-26889,-30218,-9504,4934,523390,114909,-60324,-60305,-4258,-8337,easy
25251,13564,66734,82489,44928,13275,2150,5610,35120,38007,-40143,-740,-20254,7587,-21192,80302,-35228,4314,-10767,7615,5155,-58635,-36540,-5578,61238,-4671,-65198,-72203,-39956,-10536,132000,16366,-38738,-65076,-39630,1118,difficult
215005,14735,23792,184011,10497,10311,-199423,-830,38368,-140449,-3029,8338,-199426,-7750,64121,-32329,2117,629,-195892,5636,-15161,-82798,2169,3346,-196862,-1489,54672,-77112,17852,9476,388237,-4080,-17270,-159274,1227,-6148,easy
133416,25051,8519,33900,15643,4561,-99869,1678,51147,67847,-8051,4997,-127388,-3078,68052,38392,-9636,1294,-119383,-14780,10682,63463,-10339,2356,-125808,-6134,59601,109756,-3889,5868,-108830,6556,45339,53719,-12760,16119,difficult
320872,145558,22657,35236,9665,15099,716617,-45002,22928,-23684,9755,-8938,390788,-77524,-13183,-9786,-7200,-12612,-277438,-123096,92783,124953,25046,-6996,-265839,-115431,3869,143541,-1259,1767,-182344,-125732,-2966,74115,-2157,-2664,easy
185402,34663,7188,1735,4435,2948,-175160,-21092,10428,48596,6845,16443,-171855,-17953,13026,128332,4155,13790,-168723,-4077,26764,160610,7569,12799,-177353,-30190,-3508,195746,1702,8277,-101951,7934,81771,13675,2852,2818,difficult
47602,12552,68643,67135,9783,11107,-30504,-3013,-14962,23782,3684,232,-38981,4399,-48555,30936,7430,3388,-21433,8328,82326,37560,-39,6454,27943,11585,33483,-9154,11515,3724,11515,7280,-36326,-5409,-138,-5259,easy
106730,13283,30549,63804,6188,5827,13409,1140,-14145,-51946,-3941,-1648,-98318,333,9223,40588,-2393,7707,-94946,10925,23549,10958,18173,9553,-101193,10056,80462,47682,-4225,9478,289770,33297,-14567,-49918,-89,-249,difficult
156948,25883,20271,47995,13111,9127,362445,17446,11539,192107,18152,-3159,-132956,-2499,64803,52624,-1183,-704,-142571,9601,-9772,-13316,-3658,-169,-144352,-17387,-13002,-4270,12328,-823,-116061,-6063,622,11111,-8599,6634,easy
165453,20683,15283,48329,4571,9938,-161408,-2965,180,155175,7428,-1800,-153578,-5031,4614,3809,4642,-1418,-155772,15359,56055,6400,3549,6326,-162289,22228,84465,4524,12430,5720,653649,91114,7552,-33737,8401,1306,difficult
6393,12209,49818,118756,7890,17992,680,2779,141,96143,4121,-3982,58755,11714,-35473,-63615,-2488,-15466,12106,-384,44866,54118,203,-1195,-3996,-9320,-10865,-10738,10681,-6336,26105,11513,-39623,-73323,1944,-9568,easy
26948,16136,10230,8998,11863,20262,91740,34447,-1360,-1267,-5481,-16882,405998,42562,12744,70056,13140,-6300,-2984,-12020,24352,61161,32620,7698,-16458,18263,20761,88648,-4579,-13224,161538,84705,-705,75280,7220,-287,difficult
22997,42853,32498,17731,11322,10903,176250,96918,64550,41525,38868,5399,-10378,1491,103953,45701,-3192,2773,-3903,-33980,9011,120599,-2634,-3500,3415,-30570,-3963,121467,12566,-3622,107837,38608,-12777,3590,-8182,-7444,easy
457042,112751,20523,17601,26097,14380,-126879,-35575,3572,34807,-15074,284,-451576,-92128,30422,108253,-17237,-2614,-431544,-100481,-11212,79505,-15222,-2992,-449718,-92329,7705,24367,-21943,-2729,-241468,-54124,-532,-6591,-17691,-3327,difficult
156474,15980,8812,7920,4699,9536,277764,-2143,-1052,-60,-1084,-6480,-5284,147297,-5173,62078,15935,3458,-71191,4277,1528,73905,15804,2920,27188,192716,-1428,25859,3801,16525,231289,12282,1594,-4525,-1799,-3089,easy
401175,39381,15018,7470,3469,9025,-248017,-36631,-13118,-5978,-698,-7981,-391242,-33087,2669,145703,6140,-74,-285995,608,581,86842,8293,5154,-242021,27827,-5659,1282,16904,2985,-323630,23518,-8779,642,2712,-3157,difficult
420706,89403,38512,38872,15413,18874,-414336,-70775,-22342,21401,-4643,21865,-349565,-84250,-23806,-13810,-13648,-15692,-415268,-44889,-35703,23976,7288,14089,-386755,-57588,-4608,79718,4546,-6473,291940,10544,-23354,-35821,-6185,7752,easy
385566,41553,32185,93142,6123,7273,-355561,-21848,28757,29568,10287,12973,-340019,-34569,-24642,-84544,-2473,110,-372128,12429,35692,69119,2988,3848,-320118,-24534,-16630,-76076,-2669,-5108,413838,36600,-29991,-75785,8172,7497,difficult
